feature,lasso_score,rf_score,elastic_score,combined_score,selected
Curricular units 2nd sem (approved),0.02640805432750765,0.5283221514703038,0.02642056852938667,1.0,True
Curricular units 2nd sem (enrolled),0.018267842502833354,0.09902999518380798,0.018112493891370433,0.4772474825159847,True
Curricular units 2nd sem (evaluations),0.014306018806818407,0.10697971204985805,0.014297659998617537,0.3909801028419294,True
Curricular units 1st sem (enrolled),0.004886958972134682,0.08195354138819301,0.004842309206410741,0.14779683285080195,True
Course,0.004965114645039136,0.03442126908713045,0.0049590272381623,0.11385281955993505,True
Unemployment rate,0.0038701101613925065,0.022667753881317493,0.0038769864314092428,0.0790394411952987,True
Age at enrollment,0.003479658473150972,0.021851762325364225,0.003471496086084367,0.06896691215390735,True
Inflation rate,0.002954303332404328,0.018520874250399895,0.002949362079141024,0.05398940488820288,True
GDP,0.0025416948527318397,0.01385730383525109,0.002542898951165887,0.04070729250482852,True
Displaced,0.0021522804476621516,0.003938980248111778,0.002155795850907475,0.023922094156247437,True
Gender,0.002039030863605028,0.006448585190554658,0.002041343433552891,0.02313294988278592,True
Application mode,0.0016210415214933307,0.01519457934477788,0.001612935903934192,0.019755262469121026,True
Previous qualification (grade),0.0015406595633332843,0.01691782885684852,0.0015423063284067875,0.019276804513314115,True
Scholarship holder,0.0017754532837744835,0.005505559857948653,0.0017775300085694171,0.016151967161720723,True
Application order,0.0017528057305479805,0.004341148891746335,0.0017462760420986175,0.014623800870212082,True
Admission grade,0.001143576324241113,0.02004895413838606,0.0011496459825211568,0.012288703966396475,True
